change_id,project,author_name,target,safe_entropy_interaction,is_bot,is_deployment_project,is_pure_config,is_fix,is_feature,is_maintenance,is_deployment,is_ci_change,is_refactor,config_line_ratio,code_line_ratio,churn_density,change_entropy,file_count,churn_log_size,deletion_ratio,msg_readability_ease,msg_gunning_fog,references_bug_tracker,has_subject_tag,modifies_db_migration,modifies_dependencies,modifies_config,modifies_public_api,has_security_impact,is_test_change,is_revert,is_documentation_only,directory_depth,file_extension_entropy,has_gerrit_topic,author_success_rate,author_submission_count,author_trust_score,project_acceptance_rate,historical_file_prob
openstack%2Foctavia~760711,openstack/octavia,likui,0,0.0,0,0,1,0,0,0,1,1,0,1.0,0.0,8.0,0.0,1,2.1972245773362196,0.5,-27.89999999999995,16.933333333333334,0,0,0,0,1,0,0,0,0,0,1.0,1,1,0.75,4,0.0689655172413793,0.5124378109452736,0.29411764705882354
openstack%2Fkolla~761182,openstack/kolla,Michal Nasiadka,1,0.0,0,1,0,1,0,1,0,0,0,0.0,0.7894736842105263,9.5,0.7424875695421236,2,2.995732273553991,0.2631578947368421,19.100000000000023,16.933333333333334,1,0,0,0,0,0,0,0,0,0,4.0,1,1,0.8888888888888888,9,0.03202846975088967,0.8148148148148148,0.0
openstack%2Fkolla-ansible~761519,openstack/kolla-ansible,Mark Goddard,1,0.0,0,1,1,0,0,0,0,1,0,1.0,0.0,7.0,0.0,1,2.0794415416798357,0.2857142857142857,28.7519827586207,18.21379310344828,0,0,0,0,0,0,0,0,1,0,3.0,1,1,0.8,20,0.013020833333333334,0.7619047619047619,0.0
openstack%2Foslo.utils~761730,openstack/oslo.utils,Lee Yarwood,1,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.5,0.9709505944546686,2,1.791759469228055,0.8,65.21750000000002,12.00689655172414,1,0,0,0,0,0,0,0,0,0,2.5,1,1,0.0,0,0.0,0.6666666666666666,0.0
openstack%2Foctavia~761805,openstack/octavia,Guilherme Steinmüller,1,0.0,0,0,0,1,0,0,0,0,0,0.0,1.0,10.0,0.6098403047164004,2,3.044522437723423,0.25,52.85789473684213,13.389473684210527,0,0,0,0,0,1,0,0,0,0,7.0,1,0,0.0,0,0.0,0.5099009900990099,0.75
openstack%2Fkolla-ansible~761831,openstack/kolla-ansible,Radosław Piliszek,1,1.1625633078480364,0,1,1,0,0,0,0,1,1,1.0,0.0,7.666666666666667,1.1625633078480364,3,3.1780538303479458,0.5652173913043478,78.81000000000003,7.333333333333333,0,0,0,0,1,0,0,0,0,0,3.0,2,1,0.6470588235294118,17,0.013720742534301856,0.765625,0.3
openstack%2Fkolla-ansible~761948,openstack/kolla-ansible,Isaac Prior,1,0.6840384356390417,0,1,1,0,1,0,1,1,0,1.0,0.0,5.5,0.6840384356390417,2,2.4849066497880004,0.0,9.700000000000017,16.933333333333334,0,0,0,0,1,0,0,0,0,0,4.0,2,1,1.0,1,0.047619047619047616,0.7692307692307693,0.0
openstack%2Foslo.config~762112,openstack/oslo.config,Hervé Beraud,0,0.0,0,0,0,0,1,0,0,0,0,0.1125,0.8875,26.666666666666668,1.3265018316481434,3,4.394449154672439,0.05,27.97606134371958,13.975462512171374,1,0,0,0,1,0,0,0,0,0,2.6666666666666665,2,1,0.0,6,0.0588235294117647,1.0,0.0
openstack%2Fpython-octaviaclient~762668,openstack/python-octaviaclient,Gregory Thiemonge,0,0.0,0,0,0,0,1,0,0,0,0,0.007623888182973317,0.9923761118170267,87.44444444444444,3.630151783004462,18,7.362010551259734,0.03875476493011436,54.48857894736844,13.44842105263158,0,0,0,0,1,1,0,0,0,0,4.833333333333333,2,0,0.7,30,0.0038338658146964853,0.10526315789473684,0.25
openstack%2Fkolla-ansible~762694,openstack/kolla-ansible,Mark Goddard,1,0.0,0,1,0,0,1,0,0,1,0,0.0,0.6,2.5,0.9709505944546686,2,1.791759469228055,0.4,56.70000000000002,12.488888888888889,0,0,0,0,0,0,0,0,0,0,2.0,1,0,0.8095238095238095,21,0.013609850939727802,0.7727272727272727,1.0
openstack%2Foctavia~762915,openstack/octavia,Gregory Thiemonge,0,0.0,0,0,0,0,1,0,0,0,1,0.36477007014809043,0.5237724084177708,45.82142857142857,3.894192428717322,28,7.157735484249907,0.9025720966484801,80.30636363636367,4.4,0,0,0,0,1,0,0,0,0,0,5.642857142857143,10,1,0.6774193548387096,31,0.003298223215235663,0.5123152709359606,1.0
openstack%2Foctavia~762916,openstack/octavia,Martin Chlumsky,1,0.0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.0,3.0,0.9182958340544896,2,1.9459101490553132,0.16666666666666666,73.0425,7.300000000000001,0,0,0,0,1,0,0,0,0,0,3.0,1,1,0.0,0,0.0,0.5098039215686274,0.0
openstack%2Foctavia~762928,openstack/octavia,Martin Chlumsky,1,0.0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,3.0,0.9182958340544896,2,1.9459101490553132,0.16666666666666666,72.07304245283022,9.073584905660377,0,0,0,0,1,0,0,0,0,0,3.0,1,1,1.0,1,0.14285714285714288,0.5121951219512195,0.5
